"date","venue"
"November 20, 1985","Henry J. Kaiser Convention Center"
"November 21, 1985","Henry J. Kaiser Convention Center"
"November 22, 1985","Henry J. Kaiser Convention Center"
"December 30, 1985","Oakland Coliseum Arena"
"December 31, 1985","Oakland Coliseum Arena"
"February 8, 1986","Henry J. Kaiser Convention Center"
"February 9, 1986","Henry J. Kaiser Convention Center"
"February 11, 1986","Henry J. Kaiser Convention Center"
"February 12, 1986","Henry J. Kaiser Convention Center"
"February 14, 1986","Henry J. Kaiser Convention Center"
"March 9, 1986","Henry J. Kaiser Convention Center"
"March 19, 1986","Hampton Coliseum"
"March 20, 1986","Hampton Coliseum"
"March 21, 1986","Hampton Coliseum"
"March 23, 1986","The Spectrum"
"March 24, 1986","The Spectrum"
"March 25, 1986","The Spectrum"
"March 27, 1986","Cumberland County Civic Center"
"March 28, 1986","Cumberland County Civic Center"
"March 30, 1986","Providence Civic Center"
"March 31, 1986","Providence Civic Center"
"April 1, 1986","Providence Civic Center"
"April 3, 1986","Hartford Civic Center"
"April 4, 1986","Hartford Civic Center"
"April 12, 1986","Irvine Meadows Amphitheatre"
"April 13, 1986","Irvine Meadows Amphitheatre"
"April 18, 1986","Berkeley Community Theatre"
"April 19, 1986","Berkeley Community Theatre"
"April 21, 1986","Berkeley Community Theatre"
"April 22, 1986","Berkeley Community Theatre"
"May 3, 1986","Cal Expo Amphitheatre"
"May 4, 1986","Cal Expo Amphitheatre"
"May 10, 1986","Frost Amphitheatre"
"May 11, 1986","Frost Amphitheatre"
"June 20, 1986","Greek Theatre"
"June 21, 1986","Greek Theatre"
"June 22, 1986","Greek Theatre"
"June 26, 1986","Hubert H. Humphrey Metrodome"
"June 28, 1986","Alpine Valley Music Theatre"
"June 29, 1986","Alpine Valley Music Theatre"
"June 30, 1986","River Bend Music Center"
"July 2, 1986","The Rubber Bowl"
"July 4, 1986","Rich Stadium"
"July 6, 1986","Robert F. Kennedy Stadium"
"July 7, 1986","Robert F. Kennedy Stadium"
"December 15, 1986","Oakland Coliseum Arena"
"December 16, 1986","Oakland Coliseum Arena"
"December 17, 1986","Oakland Coliseum Arena"
"December 27, 1986","Henry J. Kaiser Convention Center"
"December 28, 1986","Henry J. Kaiser Convention Center"
"December 30, 1986","Henry J. Kaiser Convention Center"
"December 31, 1986","Henry J. Kaiser Convention Center"
"January 28, 1987","San Francisco Civic Auditorium"
"January 29, 1987","San Francisco Civic Auditorium"
"January 30, 1987","San Francisco Civic Auditorium"
"March 1, 1987","Henry J. Kaiser Convention Center"
"March 2, 1987","Henry J. Kaiser Convention Center"
"March 3, 1987","Henry J. Kaiser Convention Center"
"March 22, 1987","Hampton Coliseum"
"March 23, 1987","Hampton Coliseum"
"March 24, 1987","Hampton Coliseum"
"March 26, 1987","Hartford Civic Center"
"March 27, 1987","Hartford Civic Center"
"March 29, 1987","The Spectrum"
"March 30, 1987","The Spectrum"
"March 31, 1987","The Spectrum"
"April 2, 1987","The Centrum"
"April 3, 1987","The Centrum"
"April 4, 1987","The Centrum"
"April 6, 1987","Meadowlands Arena"
"April 7, 1987","Meadowlands Arena"
"April 9, 1987","UIC Pavilion"
"April 10, 1987","UIC Pavilion"
"April 11, 1987","UIC Pavilion"
"April 17, 1987","Irvine Meadows Amphitheatre"
"April 18, 1987","Irvine Meadows Amphitheatre"
"April 19, 1987","Irvine Meadows Amphitheatre"
"May 2, 1987","Frost Amphitheatre"
"May 3, 1987","Frost Amphitheatre"
"May 9, 1987","Laguna Seca Recreation Area"
"May 10, 1987","Laguna Seca Recreation Area"
"June 12, 1987","County Fairgrounds"
"June 13, 1987","County Fairgrounds"
"June 14, 1987","County Fairgrounds"
"June 19, 1987","Greek Theatre"
"June 20, 1987","Greek Theatre"
"June 21, 1987","Greek Theatre"
"June 26, 1987","Alpine Valley Music Theatre"
"June 27, 1987","Alpine Valley Music Theatre"
"June 28, 1987","Alpine Valley Music Theatre"
"June 30, 1987","Kingswood Music Theatre"
"July 2, 1987","Silver Stadium"
"July 4, 1987","Sullivan Stadium"
"July 6, 1987","Pittsburgh Civic Arena"
"July 7, 1987","Roanoke Civic Center"
"July 8, 1987","Roanoke Civic Center"
"July 10, 1987","John F. Kennedy Stadium"
"July 12, 1987","Giants Stadium"
"July 19, 1987","Autzen Stadium"
"July 24, 1987","Oakland Coliseum Stadium"
"July 26, 1987","Anaheim Stadium"
"August 11, 1987","Red Rocks Amphitheatre"
"August 12, 1987","Red Rocks Amphitheatre"
"August 13, 1987","Red Rocks Amphitheatre"
"August 15, 1987","Town Park"
"August 16, 1987","Town Park"
"August 18, 1987","Compton Terrace Amphitheatre"
"August 20, 1987","Park West Ski Resort"
"August 22, 1987","Calaveras County Fairgrounds"
"August 23, 1987","Calaveras County Fairgrounds"
"September 7, 1987","Providence Civic Center"
"September 8, 1987","Providence Civic Center"
"September 9, 1987","Providence Civic Center"
"September 11, 1987","Capital Centre"
"September 12, 1987","Capital Centre"
"September 13, 1987","Capital Centre"
"September 15, 1987","Madison Square Garden"
"September 16, 1987","Madison Square Garden"
"September 18, 1987","Madison Square Garden"
"September 19, 1987","Madison Square Garden"
"September 20, 1987","Madison Square Garden"
"September 22, 1987","The Spectrum"
"September 23, 1987","The Spectrum"
"September 24, 1987","The Spectrum"
"October 2, 1987","Shoreline Amphitheatre"
"October 3, 1987","Shoreline Amphitheatre"
"October 4, 1987","Shoreline Amphitheatre"
"November 6, 1987","Henry J. Kaiser Convention Center"
"November 7, 1987","Henry J. Kaiser Convention Center"
"November 8, 1987","Henry J. Kaiser Convention Center"
"November 13, 1987","Long Beach Arena"
"November 14, 1987","Long Beach Arena"
"November 15, 1987","Long Beach Arena"
"December 27, 1987","Oakland Coliseum Arena"
"December 28, 1987","Oakland Coliseum Arena"
"December 30, 1987","Oakland Coliseum Arena"
"December 31, 1987","Oakland Coliseum Arena"
"February 13, 1988","Henry J. Kaiser Convention Center"
"February 14, 1988","Henry J. Kaiser Convention Center"
"February 16, 1988","Henry J. Kaiser Convention Center"
"February 17, 1988","Henry J. Kaiser Convention Center"
"March 16, 1988","Henry J. Kaiser Convention Center"
"March 17, 1988","Henry J. Kaiser Convention Center"
"March 18, 1988","Henry J. Kaiser Convention Center"
"March 24, 1988","The Omni"
"March 26, 1988","Hampton Coliseum"
"March 27, 1988","Hampton Coliseum"
"March 28, 1988","Hampton Coliseum"
"March 30, 1988","Meadowlands Arena"
"March 31, 1988","Meadowlands Arena"
"April 1, 1988","Meadowlands Arena"
"April 3, 1988","Hartford Civic Center"
"April 4, 1988","Hartford Civic Center"
"April 5, 1988","Hartford Civic Center"
"April 7, 1988","The Centrum"
"April 8, 1988","The Centrum"
"April 9, 1988","The Centrum"
"April 11, 1988","Joe Louis Arena"
"April 13, 1988","Rosemont Horizon"
"April 14, 1988","Rosemont Horizon"
"April 15, 1988","Rosemont Horizon"
"April 22, 1988","Irvine Meadows Amphitheatre"
"April 23, 1988","Irvine Meadows Amphitheatre"
"April 24, 1988","Irvine Meadows Amphitheatre"
"April 30, 1988","Frost Amphitheatre"
"May 1, 1988","Frost Amphitheatre"
"June 17, 1988","Metropolitan Sports Center"
"June 19, 1988","Alpine Valley Music Theatre"
"June 20, 1988","Alpine Valley Music Theatre"
"June 22, 1988","Alpine Valley Music Theatre"
"June 23, 1988","Alpine Valley Music Theatre"
"June 25, 1988","Buckeye Lake Music Center"
"June 26, 1988","Pittsburgh Civic Arena"
"June 28, 1988","Saratoga Performing Arts Center"
"June 30, 1988","Silver Stadium"
"July 2, 1988","Oxford Plains Speedway"
"July 3, 1988","Oxford Plains Speedway"
"July 15, 1988","Greek Theatre"
"July 16, 1988","Greek Theatre"
"July 17, 1988","Greek Theatre"
"July 29, 1988","Laguna Seca Recreation Area"
"July 30, 1988","Laguna Seca Recreation Area"
"July 31, 1988","Laguna Seca Recreation Area"
"August 26, 1988","Tacoma Dome"
"August 28, 1988","Autzen Stadium"
"September 2, 1988","Capital Centre"
"September 3, 1988","Capital Centre"
"September 5, 1988","Capital Centre"
"September 6, 1988","Capital Centre"
"September 8, 1988","The Spectrum"
"September 9, 1988","The Spectrum"
"September 11, 1988","The Spectrum"
"September 12, 1988","The Spectrum"
"September 14, 1988","Madison Square Garden"
"September 15, 1988","Madison Square Garden"
"September 16, 1988","Madison Square Garden"
"September 18, 1988","Madison Square Garden"
"September 19, 1988","Madison Square Garden"
"September 20, 1988","Madison Square Garden"
"September 22, 1988","Madison Square Garden"
"September 23, 1988","Madison Square Garden"
"September 24, 1988","Madison Square Garden"
"September 30, 1988","Shoreline Amphitheatre"
"October 1, 1988","Shoreline Amphitheatre"
"October 2, 1988","Shoreline Amphitheatre"
"October 14, 1988","Miami Arena"
"October 14, 1988","Miami Arena"
"October 15, 1988","Bayfront Center Arena"
"October 16, 1988","Bayfront Center Arena"
"October 18, 1988","Keifer Lakefront Arena"
"October 20, 1988","The Summit"
"October 21, 1988","Reunion Arena"
"December 9, 1988","Long Beach Arena"
"December 10, 1988","Long Beach Arena"
"December 11, 1988","Long Beach Arena"
"December 28, 1988","Oakland Coliseum Arena"
"December 29, 1988","Oakland Coliseum Arena"
"December 31, 1988","Oakland Coliseum Arena"
"February 4, 1989","Henry J. Kaiser Convention Center"
"February 5, 1989","Henry J. Kaiser Convention Center"
"February 6, 1989","Henry J. Kaiser Convention Center"
"February 7, 1989","Henry J. Kaiser Convention Center"
"February 10, 1989","Great Western Forum"
"February 11, 1989","Great Western Forum"
"February 12, 1989","Great Western Forum"
"March 27, 1989","The Omni"
"March 28, 1989","The Omni"
"March 30, 1989","Greensboro Coliseum"
"March 31, 1989","Greensboro Coliseum"
"April 2, 1989","Pittsburgh Civic Arena"
"April 3, 1989","Pittsburgh Civic Arena"
"April 5, 1989","Crisler Arena"
"April 6, 1989","Crisler Arena"
"April 8, 1989","Riverfront Arena"
"April 9, 1989","Freedom Hall"
"April 11, 1989","Rosemont Horizon"
"April 12, 1989","Rosemont Horizon"
"April 13, 1989","Rosemont Horizon"
"April 15, 1989","The Mecca"
"April 16, 1989","The Mecca"
"April 17, 1989","Metropolitan Sports Center"
"April 28, 1989","Irvine Meadows Amphitheatre"
"April 29, 1989","Irvine Meadows Amphitheatre"
"April 30, 1989","Irvine Meadows Amphitheatre"
"May 6, 1989","Frost Amphitheatre"
"May 7, 1989","Frost Amphitheatre"
"May 27, 1989","Oakland Coliseum Stadium"
"June 18, 1989","Shoreline Amphitheatre"
"June 18, 1989","Shoreline Amphitheatre"
"June 19, 1989","Shoreline Amphitheatre"
"June 21, 1989","Shoreline Amphitheatre"
"July 2, 1989","Sullivan Stadium"
"July 4, 1989","Rich Stadium"
"July 7, 1989","John F. Kennedy Stadium"
"July 9, 1989","Giants Stadium"
"July 10, 1989","Giants Stadium"
"July 12, 1989","Robert F. Kennedy Stadium"
"July 13, 1989","Robert F. Kennedy Stadium"
"July 15, 1989","Deer Creek Music Center"
"July 17, 1989","Alpine Valley Music Theatre"
"July 18, 1989","Alpine Valley Music Theatre"
"July 19, 1989","Alpine Valley Music Theatre"
"August 4, 1989","Cal Expo Amphitheatre"
"August 5, 1989","Cal Expo Amphitheatre"
"August 6, 1989","Cal Expo Amphitheatre"
"August 17, 1989","Greek Theatre"
"August 18, 1989","Greek Theatre"
"August 19, 1989","Greek Theatre"
"September 29, 1989","Shoreline Amphitheatre"
"September 30, 1989","Shoreline Amphitheatre"
"October 1, 1989","Shoreline Amphitheatre"
"October 8, 1989","Hampton Coliseum"
"October 9, 1989","Hampton Coliseum"
"October 11, 1989","Meadowlands Arena"
"October 12, 1989","Meadowlands Arena"
"October 14, 1989","Meadowlands Arena"
"October 15, 1989","Meadowlands Arena"
"October 16, 1989","Meadowlands Arena"
"October 18, 1989","The Spectrum"
"October 19, 1989","The Spectrum"
"October 20, 1989","The Spectrum"
"October 22, 1989","Charlotte Coliseum"
"October 23, 1989","Charlotte Coliseum"
"October 25, 1989","Miami Arena"
"October 26, 1989","Miami Arena"
"December 6, 1989","Oakland Coliseum Arena"
"December 8, 1989","Great Western Forum"
"December 9, 1989","Great Western Forum"
"December 10, 1989","Great Western Forum"
"December 27, 1989","Oakland Coliseum Arena"
"December 28, 1989","Oakland Coliseum Arena"
"December 30, 1989","Oakland Coliseum Arena"
"December 31, 1989","Oakland Coliseum Arena"
"January 25, 1990","Oakland Coliseum Arena"
"February 25, 1990","Oakland Coliseum Arena"
"February 26, 1990","Oakland Coliseum Arena"
"February 27, 1990","Oakland Coliseum Arena"
"March 14, 1990","Capital Centre"
"March 15, 1990","Capital Centre"
"March 16, 1990","Capital Centre"
"March 18, 1990","Hartford Civic Center"
"March 19, 1990","Hartford Civic Center"
"March 21, 1990","Copps Coliseum"
"March 22, 1990","Copps Coliseum"
"March 24, 1990","Knickerbocker Arena"
"March 25, 1990","Knickerbocker Arena"
"March 26, 1990","Knickerbocker Arena"
"March 28, 1990","Nassau Veterans Memorial Coliseum"
"March 29, 1990","Nassau Veterans Memorial Coliseum"
"March 30, 1990","Nassau Veterans Memorial Coliseum"
"April 1, 1990","The Omni"
"April 2, 1990","The Omni"
"April 3, 1990","The Omni"
"May 5, 1990","California State U. Dominguez Hills"
"May 6, 1990","California State U. Dominguez Hills"
"June 8, 1990","Cal Expo Amphitheatre"
"June 9, 1990","Cal Expo Amphitheatre"
"June 10, 1990","Cal Expo Amphitheatre"
"June 15, 1990","Shoreline Amphitheatre"
"June 16, 1990","Shoreline Amphitheatre"
"June 17, 1990","Shoreline Amphitheatre"
"June 23, 1990","Autzen Stadium"
"June 24, 1990","Autzen Stadium"
"July 4, 1990","Sandstone Amphitheatre"
"July 6, 1990","Cardinal Stadium"
"July 8, 1990","Three Rivers Stadium"
"July 10, 1990","Carter-Finley Stadium"
"July 12, 1990","Robert F. Kennedy Stadium"
"July 14, 1990","Foxboro Stadium"
"July 16, 1990","Rich Stadium"
"July 18, 1990","Deer Creek Music Center"
"July 19, 1990","Deer Creek Music Center"
"July 21, 1990","World Music Theatre"
"July 22, 1990","World Music Theatre"
"July 23, 1990","World Music Theatre"
"September 7, 1990","Richfield Coliseum"
"September 8, 1990","Richfield Coliseum"
"September 10, 1990","The Spectrum"
"September 10, 1990","The Spectrum"
"September 11, 1990","The Spectrum"
"September 12, 1990","The Spectrum"
"September 12, 1990","The Spectrum"
"September 14, 1990","Madison Square Garden"
"September 15, 1990","Madison Square Garden"
"September 16, 1990","Madison Square Garden"
"September 18, 1990","Madison Square Garden"
"September 19, 1990","Madison Square Garden"
"September 20, 1990","Madison Square Garden"
"October 13, 1990","Ice Stadium"
"October 17, 1990","Grugahalle"
"October 19, 1990","Internationales Congress Centrum"
"October 20, 1990","Internationales Congress Centrum"
"October 22, 1990","Festhalle"
"October 24, 1990","Sporthalle"
"October 27, 1990","Zenith"
"October 28, 1990","Zenith"
"October 30, 1990","Wembley Arena"
"October 31, 1990","Wembley Arena"
"November 1, 1990","Wembley Arena"
"December 3, 1990","Oakland Coliseum Arena"
"December 4, 1990","Oakland Coliseum Arena"
"December 8, 1990","Compton Terrace Amphitheatre"
"December 9, 1990","Compton Terrace Amphitheatre"
"December 12, 1990","McNichols Sports Arena"
"December 13, 1990","McNichols Sports Arena"
"December 14, 1990","McNichols Sports Arena"
"December 27, 1990","Oakland Coliseum Arena"
"December 28, 1990","Oakland Coliseum Arena"
"December 30, 1990","Oakland Coliseum Arena"
"December 31, 1990","Oakland Coliseum Arena"
"February 19, 1991","Oakland Coliseum Arena"
"February 20, 1991","Oakland Coliseum Arena"
"February 21, 1991","Oakland Coliseum Arena"
"March 17, 1991","Capital Centre"
"March 18, 1991","Capital Centre"
"March 20, 1991","Capital Centre"
"March 21, 1991","Capital Centre"
"March 23, 1991","Knickerbocker Arena"
"March 24, 1991","Knickerbocker Arena"
"March 25, 1991","Knickerbocker Arena"
"March 27, 1991","Nassau Veterans Memorial Coliseum"
"March 28, 1991","Nassau Veterans Memorial Coliseum"
"March 29, 1991","Nassau Veterans Memorial Coliseum"
"March 31, 1991","Greensboro Coliseum"
"April 1, 1991","Greensboro Coliseum"
"April 3, 1991","The Omni"
"April 4, 1991","The Omni"
"April 5, 1991","The Omni"
"April 7, 1991","Orlando Arena"
"April 8, 1991","Orlando Arena"
"April 9, 1991","Orlando Arena"
"April 27, 1991","Sam Boyd Silver Bowl"
"April 28, 1991","Sam Boyd Silver Bowl"
"May 3, 1991","Cal Expo Amphitheatre"
"May 4, 1991","Cal Expo Amphitheatre"
"May 5, 1991","Cal Expo Amphitheatre"
"May 10, 1991","Shoreline Amphitheatre"
"May 11, 1991","Shoreline Amphitheatre"
"May 12, 1991","Shoreline Amphitheatre"
"June 1, 1991","Los Angeles Memorial Coliseum"
"June 1, 1991","Los Angeles Memorial Coliseum"
"June 6, 1991","Deer Creek Music Center"
"June 7, 1991","Deer Creek Music Center"
"June 9, 1991","Buckeye Lake Music Center"
"June 11, 1991","Charlotte Coliseum"
"June 12, 1991","Charlotte Coliseum"
"June 14, 1991","Robert F. Kennedy Stadium"
"June 16, 1991","Giants Stadium"
"June 17, 1991","Giants Stadium"
"June 19, 1991","Pine Knob Music Theatre"
"June 20, 1991","Pine Knob Music Theatre"
"June 22, 1991","Soldier Field"
"June 24, 1991","Sandstone Amphitheatre"
"June 25, 1991","Sandstone Amphitheatre"
"June 28, 1991","Mile High Stadium"
"August 12, 1991","Cal Expo Amphitheatre"
"August 13, 1991","Cal Expo Amphitheatre"
"August 14, 1991","Cal Expo Amphitheatre"
"August 16, 1991","Shoreline Amphitheatre"
"August 17, 1991","Shoreline Amphitheatre"
"August 18, 1991","Shoreline Amphitheatre"
"September 4, 1991","Richfield Coliseum"
"September 5, 1991","Richfield Coliseum"
"September 6, 1991","Richfield Coliseum"
"September 8, 1991","Madison Square Garden"
"September 9, 1991","Madison Square Garden"
"September 10, 1991","Madison Square Garden"
"September 12, 1991","Madison Square Garden"
"September 13, 1991","Madison Square Garden"
"September 14, 1991","Madison Square Garden"
"September 16, 1991","Madison Square Garden"
"September 17, 1991","Madison Square Garden"
"September 18, 1991","Madison Square Garden"
"September 20, 1991","Boston Garden"
"September 21, 1991","Boston Garden"
"September 22, 1991","Boston Garden"
"September 24, 1991","Boston Garden"
"September 25, 1991","Boston Garden"
"September 26, 1991","Boston Garden"
"October 27, 1991","Oakland Coliseum Arena"
"October 28, 1991","Oakland Coliseum Arena"
"October 30, 1991","Oakland Coliseum Arena"
"October 31, 1991","Oakland Coliseum Arena"
"November 3, 1991","Polo Field"
"December 27, 1991","Oakland Coliseum Arena"
"December 28, 1991","Oakland Coliseum Arena"
"December 30, 1991","Oakland Coliseum Arena"
"December 31, 1991","Oakland Coliseum Arena"
"February 22, 1992","Oakland Coliseum Arena"
"February 23, 1992","Oakland Coliseum Arena"
"February 24, 1992","Oakland Coliseum Arena"
"March 1, 1992","The Omni"
"March 2, 1992","The Omni"
"March 3, 1992","The Omni"
"March 5, 1992","Hampton Coliseum"
"March 6, 1992","Hampton Coliseum"
"March 8, 1992","Capital Centre"
"March 9, 1992","Capital Centre"
"March 11, 1992","Nassau Veterans Memorial Coliseum"
"March 12, 1992","Nassau Veterans Memorial Coliseum"
"March 13, 1992","Nassau Veterans Memorial Coliseum"
"March 16, 1992","The Spectrum"
"March 17, 1992","The Spectrum"
"March 18, 1992","The Spectrum"
"March 20, 1992","Copps Coliseum"
"March 21, 1992","Copps Coliseum"
"March 23, 1992","The Palace"
"March 24, 1992","The Palace"
"May 19, 1992","Cal Expo Amphitheatre"
"May 20, 1992","Cal Expo Amphitheatre"
"May 21, 1992","Cal Expo Amphitheatre"
"May 23, 1992","Shoreline Amphitheatre"
"May 24, 1992","Shoreline Amphitheatre"
"May 25, 1992","Shoreline Amphitheatre"
"May 29, 1992","Sam Boyd Silver Bowl"
"May 30, 1992","Sam Boyd Silver Bowl"
"May 31, 1992","Sam Boyd Silver Bowl"
"June 6, 1992","Rich Stadium"
"June 8, 1992","Richfield Coliseum"
"June 9, 1992","Richfield Coliseum"
"June 11, 1992","Knickerbocker Arena"
"June 12, 1992","Knickerbocker Arena"
"June 14, 1992","Giants Stadium"
"June 15, 1992","Giants Stadium"
"June 17, 1992","Charlotte Coliseum"
"June 18, 1992","Charlotte Coliseum"
"June 20, 1992","Robert F. Kennedy Stadium"
"June 22, 1992","Star Lake Amphitheatre"
"June 23, 1992","Star Lake Amphitheatre"
"June 25, 1992","Soldier Field"
"June 26, 1992","Soldier Field"
"June 28, 1992","Deer Creek Music Center"
"June 29, 1992","Deer Creek Music Center"
"July 1, 1992","Buckeye Lake Music Center"
"December 2, 1992","McNichols Sports Arena"
"December 3, 1992","McNichols Sports Arena"
"December 5, 1992","Compton Terrace Amphitheatre"
"December 6, 1992","Compton Terrace Amphitheatre"
"December 11, 1992","Oakland Coliseum Arena"
"December 12, 1992","Oakland Coliseum Arena"
"December 13, 1992","Oakland Coliseum Arena"
"December 16, 1992","Oakland Coliseum Arena"
"December 17, 1992","Oakland Auditorium Arena"
"January 24, 1993","Oakland Coliseum Arena"
"January 25, 1993","Oakland Coliseum Arena"
"January 26, 1993","Oakland Coliseum Arena"
"February 21, 1993","Oakland Coliseum Arena"
"February 22, 1993","Oakland Coliseum Arena"
"February 23, 1993","Oakland Coliseum Arena"
"March 9, 1993","Rosemont Horizon"
"March 10, 1993","Rosemont Horizon"
"March 11, 1993","Rosemont Horizon"
"March 14, 1993","Richfield Coliseum"
"March 16, 1993","Capital Centre"
"March 17, 1993","Capital Centre"
"March 18, 1993","Capital Centre"
"March 20, 1993","The Omni"
"March 21, 1993","The Omni"
"March 22, 1993","The Omni"
"March 22, 1993","Oakland Coliseum Arena"
"March 24, 1993","Dean Smith Center"
"March 25, 1993","Dean Smith Center"
"March 27, 1993","Knickerbocker Arena"
"March 28, 1993","Knickerbocker Arena"
"March 29, 1993","Knickerbocker Arena"
"March 31, 1993","Nassau Veterans Memorial Coliseum"
"April 1, 1993","Nassau Veterans Memorial Coliseum"
"April 2, 1993","Nassau Veterans Memorial Coliseum"
"April 4, 1993","Nassau Veterans Memorial Coliseum"
"April 5, 1993","Nassau Veterans Memorial Coliseum"
"May 14, 1993","Sam Boyd Silver Bowl"
"May 15, 1993","Sam Boyd Silver Bowl"
"May 16, 1993","Sam Boyd Silver Bowl"
"May 21, 1993","Shoreline Amphitheatre"
"May 22, 1993","Shoreline Amphitheatre"
"May 23, 1993","Shoreline Amphitheatre"
"May 25, 1993","Cal Expo Amphitheatre"
"May 26, 1993","Cal Expo Amphitheatre"
"May 26, 1993","Cal Expo Amphitheatre"
"May 27, 1993","Cal Expo Amphitheatre"
"June 5, 1993","Giants Stadium"
"June 6, 1993","Giants Stadium"
"June 8, 1993","The Palace"
"June 9, 1993","The Palace"
"June 11, 1993","Buckeye Lake Music Center"
"June 13, 1993","Rich Stadium"
"June 15, 1993","Freedom Hall"
"June 16, 1993","Freedom Hall"
"June 17, 1993","Soldier Field"
"June 18, 1993","Soldier Field"
"June 19, 1993","Soldier Field"
"June 21, 1993","Deer Creek Music Center"
"June 22, 1993","Deer Creek Music Center"
"June 23, 1993","Deer Creek Music Center"
"June 25, 1993","Robert F. Kennedy Stadium"
"June 26, 1993","Robert F. Kennedy Stadium"
"August 21, 1993","Autzen Stadium"
"August 22, 1993","Autzen Stadium"
"August 25, 1993","Shoreline Amphitheatre"
"August 26, 1993","Shoreline Amphitheatre"
"August 27, 1993","Shoreline Amphitheatre"
"September 8, 1993","Richfield Coliseum"
"September 9, 1993","Richfield Coliseum"
"September 10, 1993","Richfield Coliseum"
"September 12, 1993","The Spectrum"
"September 13, 1993","The Spectrum"
"September 14, 1993","The Spectrum"
"September 16, 1993","Madison Square Garden"
"September 17, 1993","Madison Square Garden"
"September 18, 1993","Madison Square Garden"
"September 20, 1993","Madison Square Garden"
"September 21, 1993","Madison Square Garden"
"September 22, 1993","Madison Square Garden"
"September 24, 1993","Boston Garden"
"September 25, 1993","Boston Garden"
"September 26, 1993","Boston Garden"
"September 28, 1993","Boston Garden"
"September 29, 1993","Boston Garden"
"September 30, 1993","Boston Garden"
"December 8, 1993","Los Angeles Sports Arena"
"December 9, 1993","Los Angeles Sports Arena"
"December 10, 1993","Los Angeles Sports Arena"
"December 12, 1993","San Diego Sports Arena"
"December 13, 1993","San Diego Sports Arena"
"December 17, 1993","Oakland Coliseum Arena"
"December 18, 1993","Oakland Coliseum Arena"
"December 19, 1993","Oakland Coliseum Arena"
"February 25, 1994","Oakland Coliseum Arena"
"February 26, 1994","Oakland Coliseum Arena"
"February 27, 1994","Oakland Coliseum Arena"
"March 4, 1994","Desert Sky Pavilion"
"March 5, 1994","Desert Sky Pavilion"
"March 6, 1994","Desert Sky Pavilion"
"March 16, 1994","Rosemont Horizon"
"March 17, 1994","Rosemont Horizon"
"March 18, 1994","Rosemont Horizon"
"March 20, 1994","Richfield Coliseum"
"March 21, 1994","Richfield Coliseum"
"March 23, 1994","Nassau Veterans Memorial Coliseum"
"March 24, 1994","Nassau Veterans Memorial Coliseum"
"March 25, 1994","Nassau Veterans Memorial Coliseum"
"March 27, 1994","Nassau Veterans Memorial Coliseum"
"March 28, 1994","Nassau Veterans Memorial Coliseum"
"March 30, 1994","The Omni"
"March 31, 1994","The Omni"
"April 1, 1994","The Omni"
"April 4, 1994","Orlando Arena"
"April 6, 1994","Miami Arena"
"April 7, 1994","Miami Arena"
"April 8, 1994","Miami Arena"
"June 8, 1994","Cal Expo Amphitheatre"
"June 9, 1994","Cal Expo Amphitheatre"
"June 10, 1994","Cal Expo Amphitheatre"
"June 13, 1994","Seattle Center Memorial Stadium"
"June 14, 1994","Seattle Center Memorial Stadium"
"June 17, 1994","Autzen Stadium"
"June 18, 1994","Autzen Stadium"
"June 19, 1994","Autzen Stadium"
"June 24, 1994","Sam Boyd Silver Bowl"
"June 25, 1994","Sam Boyd Silver Bowl"
"June 26, 1994","Sam Boyd Silver Bowl"
"July 1, 1994","Shoreline Amphitheatre"
"July 2, 1994","Shoreline Amphitheatre"
"July 3, 1994","Shoreline Amphitheatre"
"July 13, 1994","Franklin County Field"
"July 16, 1994","Robert F. Kennedy Stadium"
"July 17, 1994","Robert F. Kennedy Stadium"
"July 19, 1994","Deer Creek Music Center"
"July 20, 1994","Deer Creek Music Center"
"July 21, 1994","Deer Creek Music Center"
"July 23, 1994","Soldier Field"
"July 24, 1994","Soldier Field"
"July 24, 1994","Riverport Amphitheatre"
"July 26, 1994","Riverport Amphitheatre"
"July 27, 1994","Riverport Amphitheatre"
"July 29, 1994","Buckeye Lake Music Center"
"July 31, 1994","The Palace"
"August 1, 1994","The Palace"
"August 3, 1994","Giants Stadium"
"August 4, 1994","Giants Stadium"
"September 16, 1994","Shoreline Amphitheatre"
"September 17, 1994","Shoreline Amphitheatre"
"September 18, 1994","Shoreline Amphitheatre"
"September 27, 1994","Boston Garden"
"September 28, 1994","Boston Garden"
"September 29, 1994","Boston Garden"
"October 1, 1994","Boston Garden"
"October 2, 1994","Boston Garden"
"October 3, 1994","Boston Garden"
"October 5, 1994","The Spectrum"
"October 6, 1994","The Spectrum"
"October 6, 1994","The Spectrum"
"October 7, 1994","The Spectrum"
"October 9, 1994","USAir Arena"
"October 10, 1994","USAir Arena"
"October 11, 1994","USAir Arena"
"October 13, 1994","Madison Square Garden"
"October 14, 1994","Madison Square Garden"
"October 15, 1994","Madison Square Garden"
"October 17, 1994","Madison Square Garden"
"October 18, 1994","Madison Square Garden"
"October 19, 1994","Madison Square Garden"
"November 29, 1994","McNichols Sports Arena"
"November 30, 1994","McNichols Sports Arena"
"December 1, 1994","McNichols Sports Arena"
"December 8, 1994","Oakland Coliseum Arena"
"December 9, 1994","Oakland Coliseum Arena"
"December 11, 1994","Oakland Coliseum Arena"
"December 12, 1994","Oakland Coliseum Arena"
